idx,chars,bert_tokens,fpga_expected_tokens,punct_tokens,core_median_us,core_min_us,core_max_us,core_std_us,core_p99_us,core_jitter_us,ovh_median_us,ovh_min_us,ovh_max_us,ovh_std_us,ovh_p99_us,ovh_jitter_us,bert_ids,fpga_expected_ids
33,231,44,39,5,75.2,73.1,284.4,13.584,139.4,211.3,92.0,88.4,410.4,19.597,188.7,322.0,1996 2047 2799 2099 5301 6325 1999 1996 6797 1998 3829 1010 2021 1996 8721 2436 2145 9010 23730 2076 2678 4455 1012 16437 2001 3722 1010 1996 10439 2001 3154 1010 1998 1996 12398 3036 10906 2020 9608 2005 1037 2188 2897 1012,1996 2047 2799 2099 5301 6325 1999 1996 6797 1998 3829 2021 1996 8721 2436 2145 9010 23730 2076 2678 4455 16437 2001 3722 1996 10439 2001 3154 1998 1996 12398 3036 10906 2020 9608 2005 1037 2188 2897
34,234,48,43,5,77.9,75.9,379.0,14.984,143.5,303.1,94.5,91.1,375.1,17.916,186.7,284.0,7632 11271 1010 1045 7039 1996 10903 15664 2013 7483 1012 1996 2783 9997 3544 2069 2043 1996 2557 3727 3637 5549 1010 2025 2076 1996 13617 3191 5833 1012 1045 2097 2128 15532 1996 3231 2007 1037 2936 5425 3332 1998 4604 1996 14811 2077 11501 1012,7632 11271 1045 7039 1996 10903 15664 2013 7483 1996 2783 9997 3544 2069 2043 1996 2557 3727 3637 5549 2025 2076 1996 13617 3191 5833 1045 2097 2128 15532 1996 3231 2007 1037 2936 5425 3332 1998 4604 1996 14811 2077 11501
35,257,53,48,5,85.2,82.8,327.2,13.875,153.1,244.4,102.1,98.5,395.8,21.577,206.6,297.3,1037 2235 11157 2291 2411 11896 1999 11771 3971 1024 1037 17698 2003 2028 24880 2205 2460 1010 2019 17938 8769 2076 1037 4236 10651 1010 2030 1037 2051 5833 15980 1037 5119 2008 2101 3431 1012 2204 5852 2323 2191 2216 3572 5710 2077 1996 2604 2003 10203 1999 1037 3482 1012,1037 2235 11157 2291 2411 11896 1999 11771 3971 1037 17698 2003 2028 24880 2205 2460 2019 17938 8769 2076 1037 4236 10651 2030 1037 2051 5833 15980 1037 5119 2008 2101 3431 2204 5852 2323 2191 2216 3572 5710 2077 1996 2604 2003 10203 1999 1037 3482
36,230,39,35,4,73.2,70.8,322.0,12.576,136.6,251.2,89.6,86.3,402.8,20.907,183.6,316.5,1996 3720 9251 2008 2951 6401 2024 9564 2013 3722 8241 4935 2000 12347 2491 1997 2373 1010 11520 1010 1998 2897 19940 1012 9224 2085 7438 15171 3977 2004 2019 3330 3465 2738 2084 1037 19741 17698 1012,1996 3720 9251 2008 2951 6401 2024 9564 2013 3722 8241 4935 2000 12347 2491 1997 2373 11520 1998 2897 19940 9224 2085 7438 15171 3977 2004 2019 3330 3465 2738 2084 1037 19741 17698
37,234,50,40,10,77.9,75.7,385.2,18.784,149.3,309.5,94.6,90.5,454.5,22.217,199.2,364.0,7561 3189 1024 2695 1013 17928 1013 8833 2378 2513 22649 2005 5310 3231 1012 5310 1030 2742 1012 4012 2044 1017 4740 1012 5219 17387 2001 2556 1010 7396 5119 2001 2324 3823 2369 8241 2051 1010 1998 1996 5227 2234 2013 3857 4005 1021 2076 22390 26237 1012,7561 3189 2695 17928 8833 2378 2513 22649 2005 5310 3231 5310 2742 4012 2044 1017 4740 5219 17387 2001 2556 7396 5119 2001 2324 3823 2369 8241 2051 1998 1996 5227 2234 2013 3857 4005 1021 2076 22390 26237
38,254,50,43,7,82.0,79.7,412.0,16.406,158.1,332.3,101.0,95.8,681.1,28.685,229.5,585.3,25732 1024 2445 1037 2862 1997 8013 10821 1010 6709 10694 4945 11583 1010 2177 2714 3314 1010 1998 3965 1037 2460 3330 12654 2007 3350 1012 2079 2025 1999 15338 5320 1012 2928 9662 5167 2004 1044 22571 14573 23072 1998 2862 1996 15664 2734 2000 12210 2068 1012,25732 2445 1037 2862 1997 8013 10821 6709 10694 4945 11583 2177 2714 3314 1998 3965 1037 2460 3330 12654 2007 3350 2079 2025 1999 15338 5320 2928 9662 5167 2004 1044 22571 14573 23072 1998 2862 1996 15664 2734 2000 12210 2068
39,488,94,88,6,154.6,148.1,1709.4,47.212,333.6,1561.3,170.9,164.2,670.6,32.005,327.0,506.4,12653 28142 1024 1996 19204 17629 13385 1037 5460 1997 2004 6895 2072 27507 1998 12495 3215 19204 8909 4765 28295 2478 1037 4964 16188 8250 1999 3796 3638 1012 7953 3793 2003 3671 3550 2000 2896 18382 2077 9844 1012 4242 14798 2024 3975 2046 3760 10341 2127 1037 9398 19204 2003 2179 2030 1996 2839 2003 22627 2004 2019 4242 19204 1012 1996 8051 4130 2003 2881 2005 28283 25300 10074 2397 9407 1998 9377 3085 12504 1010 2096 1996 4007 4431 3594 1996 2168 7953 13931 2005 6149 2791 14148 1012,12653 28142 1996 19204 17629 13385 1037 5460 1997 2004 6895 2072 27507 1998 12495 3215 19204 8909 4765 28295 2478 1037 4964 16188 8250 1999 3796 3638 7953 3793 2003 3671 3550 2000 2896 18382 2077 9844 4242 14798 2024 3975 2046 3760 10341 2127 1037 9398 19204 2003 2179 2030 1996 2839 2003 22627 2004 2019 4242 19204 1996 8051 4130 2003 2881 2005 28283 25300 10074 2397 9407 1998 9377 3085 12504 2096 1996 4007 4431 3594 1996 2168 7953 13931 2005 6149 2791 14148
40,421,70,65,5,122.1,118.5,524.1,23.62,230.0,405.6,143.3,135.3,1388.9,49.429,333.8,1253.6,2739 2806 20423 1024 2103 6671 4584 2056 1996 2047 3902 9470 10914 4359 2779 3604 2051 2006 1996 2364 7120 2076 1996 2851 4672 1012 8195 2988 8491 2146 18074 2012 1996 2430 2276 1010 2295 2195 2217 4534 5281 11907 4026 2044 1996 4742 10984 2904 1012 1996 4034 3488 2000 10172 1037 2440 3204 1997 11702 2077 10561 3251 2000 7818 1996 2565 2000 3176 5847 1012,2739 2806 20423 2103 6671 4584 2056 1996 2047 3902 9470 10914 4359 2779 3604 2051 2006 1996 2364 7120 2076 1996 2851 4672 8195 2988 8491 2146 18074 2012 1996 2430 2276 2295 2195 2217 4534 5281 11907 4026 2044 1996 4742 10984 2904 1996 4034 3488 2000 10172 1037 2440 3204 1997 11702 2077 10561 3251 2000 7818 1996 2565 2000 3176 5847
41,429,88,75,13,133.3,127.4,681.8,30.617,273.2,554.4,151.5,144.0,636.0,33.989,308.4,492.0,3642 3319 7099 1024 3853 11968 3366 14771 1006 17698 1010 3091 1007 1024 4638 2008 3091 2003 2012 2560 2260 27507 1010 3191 1996 4471 2828 1010 3191 1996 18093 2946 1010 15454 1996 14771 2065 18093 2946 2003 3469 2084 3091 15718 20346 2946 1010 6100 2069 1996 9398 4383 18093 1010 2709 2019 7561 3642 2006 15451 29021 7953 1010 1998 8833 1996 3120 4769 2005 2139 8569 12588 1012 2023 2544 26777 19836 4249 2077 19202 14148 1998 7906 1996 4945 4130 13216 1012,3642 3319 7099 3853 11968 3366 14771 17698 3091 4638 2008 3091 2003 2012 2560 2260 27507 3191 1996 4471 2828 3191 1996 18093 2946 15454 1996 14771 2065 18093 2946 2003 3469 2084 3091 15718 20346 2946 6100 2069 1996 9398 4383 18093 2709 2019 7561 3642 2006 15451 29021 7953 1998 8833 1996 3120 4769 2005 2139 8569 12588 2023 2544 26777 19836 4249 2077 19202 14148 1998 7906 1996 4945 4130 13216
42,799,165,148,17,240.7,231.6,786.4,40.393,436.0,554.8,260.5,250.2,938.5,43.759,483.0,688.3,4087 3720 28142 1024 19204 3989 6847 27373 2024 3733 2000 28616 16416 2094 2043 1996 8051 1998 4007 10425 2079 2025 4374 3599 1996 2168 3793 1012 1037 4189 7831 2323 2224 2028 13931 5371 1010 2028 2240 2566 7099 1010 1998 1037 6540 17463 3217 9623 7741 3627 1012 1996 17368 4431 2064 2448 1037 17662 12172 19204 17629 2058 2169 2240 1998 2501 19204 4175 1010 2397 9407 1010 1998 6434 8909 4765 28295 1012 1996 1042 26952 2050 12504 2064 16678 1996 2168 2240 1010 6611 2049 2004 6895 2072 2896 18382 2754 1010 1998 12495 2102 19204 8909 4765 28295 2013 1996 8051 2674 2121 1012 2151 28616 18900 2818 2323 2022 6219 2077 13325 2836 1012 2070 5966 2024 7375 12883 1010 2107 2004 1037 4394 13590 3627 2030 2019 2125 2011 2028 17698 5787 1012 2060 5966 2024 3517 12546 1010 2107 2004 4895 6342 9397 15613 27260 7953 1012 7316 2119 7236 7906 1996 9312 7481 1012,4087 3720 28142 19204 3989 6847 27373 2024 3733 2000 28616 16416 2094 2043 1996 8051 1998 4007 10425 2079 2025 4374 3599 1996 2168 3793 1037 4189 7831 2323 2224 2028 13931 5371 2028 2240 2566 7099 1998 1037 6540 17463 3217 9623 7741 3627 1996 17368 4431 2064 2448 1037 17662 12172 19204 17629 2058 2169 2240 1998 2501 19204 4175 2397 9407 1998 6434 8909 4765 28295 1996 1042 26952 2050 12504 2064 16678 1996 2168 2240 6611 2049 2004 6895 2072 2896 18382 2754 1998 12495 2102 19204 8909 4765 28295 2013 1996 8051 2674 2121 2151 28616 18900 2818 2323 2022 6219 2077 13325 2836 2070 5966 2024 7375 12883 2107 2004 1037 4394 13590 3627 2030 2019 2125 2011 2028 17698 5787 2060 5966 2024 3517 12546 2107 2004 4895 6342 9397 15613 27260 7953 7316 2119 7236 7906 1996 9312 7481
